rcvr_id,rcvr_cntry_code,starts,dones,rcvr_acct_type,rcvr_acct_cre_dt,is_large_enterprise_y_n,large_merch_y_n,rcvr_tof,busn_name,rcvr_segment,rcvr_industry,rcvr_region,cust_acq_chnl_desc,num_txns,tpv,merch_tpv_tier,coverage,conversion
1195443905895976271 ,AU ,19,16,Business,1/18/2012,N,N,3Y+,Arvendale Pty Ltd atf Forbes Business Trust T/as Why Not,03 CS,fashion,APAC  ,Paid IM,16,"1,334.94",<10K,1,0.84
1156511731626048163 ,HU ,2,2,Consumer,1/23/2011,N,N,3Y+,#,05 P2P receiver,?,CEMEA ,Organic,2,56.56,<10K,1,1
1422071277000814182 ,US ,23,23,Business,1/11/2011,N,N,3Y+,Baier Basic's LLC,03 CS,cosmetics,NA    ,Partner,24,719.16,<10K,0.96,1
1196718060347866579 ,US ,3,1,Consumer,10/5/2012,N,N,1Y-3Y,#,03 CS,?,NA    ,Natural Search,3,110,<10K,0.33,0.33
2024591640614498990 ,IE ,8,8,Consumer,5/26/2006,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,9,368.76,<10K,0.89,1
1384721323629714441 ,US ,1,1,Consumer,1/31/2001,N,N,3Y+,#,03 CS,?,NA    ,Organic,2,80,<10K,0.5,1
1466235140986302172 ,JP ,2,0,Business,4/9/2013,N,N,1Y-3Y,,03 CS,?,APAC  ,Paid IM and Natural Search,?,?,Unknown,?,0
1240286278502751371 ,GB ,1,1,Consumer,6/15/2014,N,N,1Y-3Y,#,03 CS,?,EMEA  ,Paid IM,4,187.3,<10K,0.25,1
1180091127435134525 ,ES ,1,1,Consumer,2/17/2009,N,N,3Y+,#,03 CS,?,CEMEA ,Organic,1,18.83,<10K,1,1
2001259215356178591 ,US ,2,2,Consumer,11/5/2006,N,N,3Y+,#,03 CS,houseware,NA    ,Organic,2,192.38,<10K,1,1
1430351915659562740 ,GB ,1,1,Consumer,10/15/2008,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,1,62.19,<10K,1,1
1678816650719811187 ,US ,1,1,Consumer,7/14/2010,N,N,3Y+,#,03 CS,fashion,NA    ,Paid IM,1,277.93,<10K,1,1
1961852772758433875 ,AU ,1,1,Consumer,4/27/2005,N,N,3Y+,#,03 CS,cellphones,APAC  ,Organic,1,32.48,<10K,1,1
2158091385397144316 ,US ,1,1,Consumer,9/14/2008,N,N,3Y+,#,03 CS,?,NA    ,Organic,1,14.51,<10K,1,1
1863444690046027446 ,CA ,1,1,Consumer,6/12/2008,N,N,3Y+,#,05 P2P receiver,?,NA    ,Organic,1,562.75,<10K,1,1
2092673661511828925 ,GB ,2,2,Consumer,7/1/2011,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,2,52.51,<10K,1,1
1379720365474336218 ,GB ,1,1,Consumer,6/22/2014,N,N,1Y-3Y,#,03 CS,?,EMEA  ,Paid IM and Natural Search,1,7.22,<10K,1,1
1315053948572161706 ,GB ,19,17,Consumer,11/4/2000,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,40,786.49,<10K,0.42,0.89
1519543325630814521 ,US ,7,7,Consumer,3/28/2012,N,N,3Y+,#,03 CS,memorabilia,NA    ,Organic,6,511.15,<10K,1.17,1
1476628263013751278 ,AU ,1,1,Consumer,2/1/2010,N,N,3Y+,#,03 CS,fashion,APAC  ,Organic,1,103.94,<10K,1,1
2240647023571061288 ,US ,67,61,Consumer,1/15/2014,N,N,1Y-3Y,#,03 CS,memorabilia,NA    ,Organic,66,"3,535.67",<10K,0.92,0.91
1254232122227742278 ,US ,8,5,Consumer,12/29/2014,N,N,3-12M,#,03 CS,fashion,NA    ,Organic,6,271.36,<10K,0.83,0.62
1766133819083203272 ,GB ,4,4,Consumer,7/15/2008,N,N,3Y+,#,03 CS,fashion,EMEA  ,Organic,5,182.89,<10K,0.8,1
1471358063601948454 ,US ,1,1,Consumer,10/25/2014,N,N,3-12M,#,03 CS,?,NA    ,Organic,1,50.32,<10K,1,1
1696722775365225051 ,US ,2,2,Consumer,5/23/2006,N,N,3Y+,#,03 CS,sports-equip,NA    ,Organic,2,"2,573.05",<10K,1,1
1705964461839372181 ,GB ,3,3,Consumer,6/10/2011,N,N,3Y+,#,03 CS,auto-parts,EMEA  ,Natural Search,3,858.26,<10K,1,1
1195839457863003057 ,GB ,9,9,Consumer,4/17/2006,N,N,3Y+,#,03 CS,fashion,EMEA  ,Organic,13,"1,695.12",<10K,0.69,1
1961660825501301782 ,DE ,3,3,Consumer,8/25/2004,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,3,121.51,<10K,1,1
1397013662355068671 ,GB ,5,5,Consumer,8/21/2011,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,6,76.12,<10K,0.83,1
1948226995315073413 ,DE ,1,1,Consumer,8/8/2010,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,4,256.59,<10K,0.25,1
2001757169348264735 ,US ,1,1,Consumer,5/18/2005,N,N,3Y+,#,03 CS,?,NA    ,Organic,2,29.67,<10K,0.5,1
1734514112122489456 ,DE ,1,1,Consumer,6/18/2002,N,N,3Y+,#,04 YS,?,EMEA  ,Organic,1,39,<10K,1,1
2248987782734152938 ,US ,1,1,Consumer,4/6/2005,N,N,3Y+,#,03 CS,auto-parts,NA    ,Organic,1,30,<10K,1,1
1883128921113748003 ,DE ,3,3,Consumer,6/27/2013,N,N,1Y-3Y,#,03 CS,?,EMEA  ,Organic,3,28.56,<10K,1,1
1332514745188073254 ,US ,1,0,Business,4/17/2015,N,N,3-12M,Wicked Wonders,?,?,NA    ,Organic,?,?,Unknown,?,0
1606095494383133794 ,US ,1,1,Consumer,11/30/2005,N,N,3Y+,#,03 CS,?,NA    ,Organic,3,148,<10K,0.33,1
1957662525204425239 ,ID ,1,1,Consumer,12/10/2011,N,N,3Y+,#,04 YS,?,APAC  ,Organic,1,54,<10K,1,1
1757496647305533834 ,US ,3,1,Consumer,3/21/2013,N,N,1Y-3Y,#,03 CS,?,NA    ,Organic,10,"1,815.00",<10K,0.1,0.33
1629278063802981253 ,US ,4,4,Consumer,10/23/2001,N,N,3Y+,#,03 CS,computer-hardware,NA    ,Organic,4,254.98,<10K,1,1
2172917121579223496 ,US ,2,2,Consumer,1/20/2004,N,N,3Y+,#,03 CS,cellphones,NA    ,Organic,2,300,<10K,1,1
1944475090633731699 ,GB ,1,1,Consumer,6/22/2008,N,N,3Y+,#,03 CS,music-videos,EMEA  ,Organic,6,851.09,<10K,0.17,1
1937924283243859936 ,GB ,8,8,Consumer,1/21/2012,N,N,3Y+,#,03 CS,auto-parts,EMEA  ,Organic,8,297.95,<10K,1,1
1468979790622609644 ,US ,1,1,Consumer,1/23/2015,N,N,3-12M,#,?,?,NA    ,Organic,?,?,Unknown,?,1
1153100872208117682 ,US ,1,1,Consumer,7/9/2012,N,N,3Y+,#,05 P2P receiver,?,NA    ,Paid IM and Natural Search,1,100,<10K,1,1
1363428145956751199 ,US ,2,0,Consumer,5/1/2014,N,N,1Y-3Y,#,?,?,NA    ,Organic,?,?,Unknown,?,0
1867488199103176149 ,FR ,1,1,Consumer,4/7/2012,N,N,3Y+,#,05 P2P receiver,?,CEMEA ,Organic,1,81.15,<10K,1,1
2298902165510872603 ,US ,13,11,Business,5/1/2015,N,N,3-12M,2015_strbo,04 YS,?,NA    ,Organic,15,141.05,<10K,0.73,0.85
1903487509618747915 ,US ,11,10,Consumer,2/19/2004,N,N,3Y+,#,03 CS,fashion,NA    ,Organic,11,995.89,<10K,0.91,0.91
1934715070919199311 ,GB ,1,1,Consumer,1/21/2011,N,N,3Y+,#,05 P2P receiver,?,EMEA  ,Natural Search,1,84.17,<10K,1,1
1482888953720117136 ,DE ,7,7,Consumer,9/2/2009,N,N,3Y+,#,03 CS,fashion,EMEA  ,Organic,34,722.28,<10K,0.21,1
1289437303028781775 ,GB ,18,17,Consumer,1/23/2009,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,17,349.08,<10K,1,0.94
1227294561865938818 ,US ,30,22,Consumer,5/27/2014,N,N,1Y-3Y,#,?,?,NA    ,Organic,?,?,Unknown,?,0.73
1508228341254039998 ,GB ,1,0,Consumer,10/27/2008,N,N,3Y+,#,03 CS,auto-parts,EMEA  ,Organic,?,?,Unknown,?,0
1904496908078061788 ,US ,2,2,Business,8/24/2011,N,N,3Y+,Sinister Skate Wear,03 CS,fashion,NA    ,Partner,3,207.06,<10K,0.67,1
1786889324181919472 ,US ,22,21,Consumer,6/22/2012,N,N,3Y+,#,03 CS,?,NA    ,Organic,24,"3,131.00",<10K,0.88,0.95
2046142690573884408 ,ES ,5,1,Business,10/13/2014,N,N,3-12M,Idea Infinity,03 CS,?,CEMEA ,Organic,1,351.29,<10K,1,0.2
2241543412463237015 ,US ,2,2,Business,9/26/2006,N,N,3Y+,DUBSOLO,03 CS,?,NA    ,Organic,2,549.99,<10K,1,1
1814745480793399390 ,US ,6,0,Business,1/23/2011,N,N,3Y+,#,03 CS,?,NA    ,Organic,1,10,<10K,0,0
1728153435153928195 ,DE ,1,1,Consumer,7/24/2007,N,N,3Y+,#,03 CS,cameras,EMEA  ,Organic,1,104.66,<10K,1,1
2114002543818459345 ,FR ,42,40,Consumer,5/20/2010,N,N,3Y+,#,03 CS,?,CEMEA ,Organic,40,400.51,<10K,1,0.95
1413382682311820323 ,US ,175,156,Consumer,8/12/2009,N,N,3Y+,#,03 CS,memorabilia,NA    ,Organic,174,"7,948.20",<10K,0.9,0.89
1779261530133598953 ,US ,3,1,Consumer,9/19/2012,N,N,1Y-3Y,#,03 CS,?,NA    ,Organic,1,200,<10K,1,0.33
1464376016538063947 ,US ,112,34,Business,6/17/2000,N,N,3Y+,Chile Consulting,03 CS,services-other,NA    ,Organic,60,"3,205.38",<10K,0.57,0.3
1830586822999952396 ,US ,1,1,Consumer,5/21/2003,N,N,3Y+,#,03 CS,fashion,NA    ,Organic,11,"2,496.80",<10K,0.09,1
2030419183309425136 ,US ,1,1,Consumer,1/21/2008,N,N,3Y+,#,04 YS,?,NA    ,Organic,1,150.36,<10K,1,1
2042474266584361275 ,IT ,53,39,Business,5/24/2013,N,N,1Y-3Y,IVAN PERINOT,02 SME,auto-parts,CEMEA ,Organic,45,"14,038.84",10K-200K,0.87,0.74
1873223313830757962 ,US ,2,2,Consumer,8/20/2004,N,N,3Y+,#,03 CS,cellphones,NA    ,Organic,2,200.25,<10K,1,1
2294342150083088682 ,US ,1,1,Business,12/14/2012,N,N,1Y-3Y,ARLocal,03 CS,website-services,NA    ,Organic,5,646.38,<10K,0.2,1
1265787421795575651 ,US ,19,12,Business,5/25/2009,N,N,3Y+,Dream Mountain Studio,03 CS,houseware,NA    ,Telesales,12,"3,897.64",<10K,1,0.63
1848549456081095353 ,GB ,52,40,Consumer,7/1/2012,N,N,3Y+,#,03 CS,fashion,EMEA  ,Organic,47,"2,494.52",<10K,0.85,0.77
2037545081478252242 ,US ,17,15,Business,7/5/2005,N,N,3Y+,#,02 SME,electronics,NA    ,Organic,33,"36,322.91",10K-200K,0.45,0.88
1254413397554654540 ,US ,1,1,Business,1/31/2015,N,N,3-12M,#,03 CS,?,NA    ,Partner,1,270.82,<10K,1,1
1250698984180471360 ,US ,1,1,Consumer,4/27/2015,N,N,3-12M,#,04 YS,auto-parts,NA    ,Organic,1,"1,217.45",<10K,1,1
2167173656111206825 ,GB ,2,2,Consumer,10/13/2009,N,N,3Y+,#,03 CS,sports-equip,EMEA  ,Organic,3,"1,081.14",<10K,0.67,1
1848588929783297502 ,DE ,4,3,Business,2/10/2015,N,N,3-12M,shampoo4you,04 YS,?,EMEA  ,Organic,2,61.87,<10K,1.5,0.75
1434269888639945843 ,ES ,16,12,Business,4/10/2014,N,N,1Y-3Y,Servicios,03 CS,office-supplies,CEMEA ,Organic,36,416.27,<10K,0.33,0.75
2095941633851102510 ,UY ,1,1,Consumer,4/6/2015,N,N,3-12M,#,04 YS,?,LATAM ,Partner,1,720,<10K,1,1
1778827642358242737 ,US ,3,3,Business,12/2/2004,N,N,3Y+,#,03 CS,?,NA    ,Organic,3,291.45,<10K,1,1
2031586641603793388 ,FR ,1,0,Consumer,4/1/2015,N,N,3-12M,#,?,?,CEMEA ,Organic,?,?,Unknown,?,0
1259618353476577282 ,US ,1,0,Consumer,8/19/2014,N,N,1Y-3Y,#,?,?,NA    ,Natural Search,?,?,Unknown,?,0
2257384661652558323 ,US ,1,0,Business,2/25/2015,N,N,3-12M,Suicide Surf Shop,?,?,NA    ,Organic,?,?,Unknown,?,0
1412979007674091354 ,GB ,1,1,Consumer,10/21/2003,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,1,15.42,<10K,1,1
1876957634394084463 ,US ,90,78,Business,12/8/2002,N,N,3Y+,Aaron Taylor,03 CS,jewelry,NA    ,Organic,126,"12,782.26",10K-200K,0.62,0.87
1788301557512112389 ,GB ,2,1,Consumer,8/19/2006,N,N,3Y+,#,03 CS,?,EMEA  ,Paid IM,1,31.98,<10K,1,0.5
1875409198789903911 ,US ,8,6,Consumer,10/2/2007,N,N,3Y+,#,03 CS,?,NA    ,Organic,8,674.21,<10K,0.75,0.75
1617831380753131628 ,GB ,7,5,Consumer,4/4/2011,N,N,3Y+,#,03 CS,office-supplies,EMEA  ,Organic,9,"1,029.50",<10K,0.56,0.71
1862020275882583042 ,FR ,1,1,Consumer,4/1/2013,N,N,1Y-3Y,#,03 CS,?,CEMEA ,Organic,1,129.23,<10K,1,1
1747342624564121617 ,US ,2,2,Consumer,6/10/2012,N,N,3Y+,#,03 CS,?,NA    ,Organic,2,52.19,<10K,1,1
1958199414178958207 ,GB ,1,1,Consumer,7/20/2013,N,N,1Y-3Y,#,03 CS,?,EMEA  ,Organic,5,57.94,<10K,0.2,1
2026442289207419472 ,GB ,4,4,Consumer,11/24/2011,N,N,3Y+,#,04 YS,cosmetics,EMEA  ,Organic,4,93.79,<10K,1,1
1856192556975811363 ,GB ,68,63,Consumer,6/8/2012,N,N,3Y+,#,03 CS,auto-parts,EMEA  ,Organic,64,"1,488.74",<10K,0.98,0.93
1932810121130652347 ,FR ,20,20,Consumer,1/20/2007,N,N,3Y+,#,03 CS,?,CEMEA ,Organic,22,711.92,<10K,0.91,1
1972667831487777951 ,JP ,1,0,Consumer,11/4/2013,N,N,1Y-3Y,#,?,?,APAC  ,Organic,?,?,Unknown,?,0
2267351172652711268 ,GB ,4,4,Consumer,3/23/2010,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,4,40.83,<10K,1,1
1765322985298867165 ,US ,6,3,Consumer,4/6/2000,N,N,3Y+,#,03 CS,computer-hardware,NA    ,Organic,6,"2,727.56",<10K,0.5,0.5
1857619984652955525 ,SA ,2,0,Business,11/14/2013,N,N,1Y-3Y,Almotajroon,?,?,CEMEA ,Natural Search,?,?,Unknown,?,0
2115682279378457238 ,GB ,8,6,Consumer,11/23/2012,N,N,1Y-3Y,#,03 CS,?,EMEA  ,Organic,5,250.55,<10K,1.2,0.75
1271089191952509229 ,US ,1,0,Business,9/2/2014,N,N,3-12M,WGFASH.COM,?,?,NA    ,Organic,?,?,Unknown,?,0
1983096456973606870 ,US ,2,2,Business,2/6/2014,N,N,1Y-3Y,Yeshivas Beis Dovid Shlomo,03 CS,?,NA    ,Organic,2,512,<10K,1,1
2264494944006988994 ,GB ,3,3,Consumer,1/17/2003,N,N,3Y+,#,03 CS,computer-hardware,EMEA  ,Organic,3,156.96,<10K,1,1
1665020525937307916 ,US ,1,1,Business,10/12/2012,N,N,1Y-3Y,Sam Anderson,03 CS,?,NA    ,Organic,73,791.8,<10K,0.01,1
2288057959419610730 ,FR ,1,1,Consumer,1/2/2013,N,N,1Y-3Y,#,03 CS,?,CEMEA ,Organic,2,17.68,<10K,0.5,1
1936467276019443624 ,DE ,1,0,Consumer,3/15/2015,N,N,3-12M,#,?,?,EMEA  ,Organic,?,?,Unknown,?,0
2054002793078999899 ,IT ,1,1,Consumer,9/12/2009,N,N,3Y+,#,03 CS,education,CEMEA ,Paid IM,1,31.78,<10K,1,1
1572317630524947426 ,FI ,1,1,Consumer,2/25/2011,N,N,3Y+,#,03 CS,?,CEMEA ,Natural Search,1,18.45,<10K,1,1
1736992863369569565 ,GB ,8,7,Consumer,9/18/2012,N,N,1Y-3Y,#,03 CS,?,EMEA  ,Organic,8,92.45,<10K,0.88,0.88
1314576413189749717 ,US ,10,10,Consumer,3/16/2008,N,N,3Y+,#,03 CS,electronics,NA    ,Organic,11,566.94,<10K,0.91,1
1318129837526339660 ,DE ,4,4,Consumer,4/15/2011,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,19,625.71,<10K,0.21,1
1455383885225850931 ,MX ,1,0,Business,8/17/2014,N,N,1Y-3Y,Nombre comercial,?,?,LATAM ,Natural Search,?,?,Unknown,?,0
1299193311486747647 ,US ,654,612,Business,2/7/2009,N,N,3Y+,#,03 CS,music-videos,NA    ,Organic,681,"6,625.86",<10K,0.9,0.94
1262754979997721929 ,US ,11,11,Business,12/5/2008,N,N,3Y+,#,03 CS,?,NA    ,Paid IM,12,941.6,<10K,0.92,1
1726527995992288414 ,US ,3,3,Consumer,8/3/2010,N,N,3Y+,#,05 P2P receiver,?,NA    ,Organic,6,682,<10K,0.5,1
1186704667259526740 ,US ,8,3,Consumer,3/10/2002,N,N,3Y+,#,03 CS,?,NA    ,Organic,6,806.71,<10K,0.5,0.38
1201714104962424245 ,GB ,"1,023",966,Business,11/3/2005,N,N,3Y+,#,03 CS,baby-products,EMEA  ,Organic,"1,152","7,898.54",<10K,0.84,0.94
1453235262838048671 ,GB ,33,31,Consumer,5/21/2012,N,N,3Y+,#,03 CS,baby-products,EMEA  ,Organic,32,491.93,<10K,0.97,0.94
1453167365711508266 ,US ,44,18,Business,5/26/2014,N,N,1Y-3Y,Ruby Scoops Ice Cream & Sweets,03 CS,food-n-drink,NA    ,Organic,51,"2,185.42",<10K,0.35,0.41
1389012106909986154 ,US ,1,1,Consumer,11/14/2007,N,N,3Y+,#,03 CS,?,NA    ,Organic,1,177.5,<10K,1,1
1611321105269476881 ,DE ,5,5,Consumer,8/23/2005,N,N,3Y+,#,03 CS,sports-equip,EMEA  ,Organic,49,"2,101.90",<10K,0.1,1
1425857828686194078 ,US ,322,295,Business,4/14/2011,N,N,3Y+,Unique Art Pendants Inc,03 CS,arts-n-craft,NA    ,Partner,329,"13,003.54",10K-200K,0.9,0.92
1305147849718664538 ,GB ,10,9,Business,3/17/2003,N,N,3Y+,Equester,02 SME,sports-equip,EMEA  ,Organic,8,762.94,<10K,1.12,0.9
1674515841467867442 ,GB ,11,9,Consumer,8/2/2009,N,N,3Y+,#,04 YS,?,EMEA  ,Organic,9,295.3,<10K,1,0.82
1756755536365796829 ,US ,2,1,Consumer,8/27/2008,N,N,3Y+,#,03 CS,?,NA    ,Organic,1,80.35,<10K,1,0.5
1753243161088575251 ,DE ,4,3,Consumer,12/30/2012,N,N,1Y-3Y,#,03 CS,?,EMEA  ,Organic,4,349.13,<10K,0.75,0.75
1780361299955483442 ,US ,6,1,Business,1/20/2011,N,N,3Y+,"Incredible Films, LLC",03 CS,?,NA    ,Organic,2,185,<10K,0.5,0.17
2071505491125457931 ,GB ,1,1,Consumer,1/15/2012,N,N,3Y+,#,03 CS,fashion,EMEA  ,Organic,2,483.85,<10K,0.5,1
1868069940681747895 ,IE ,1,1,Consumer,6/1/2006,N,N,3Y+,#,05 P2P receiver,?,EMEA  ,Organic,1,170.25,<10K,1,1
2155336133359725880 ,US ,3,3,Consumer,1/12/2005,N,N,3Y+,#,03 CS,?,NA    ,Organic,6,392.49,<10K,0.5,1
1402570519278826352 ,US ,1,0,Consumer,12/31/2006,N,N,3Y+,#,?,?,NA    ,Organic,?,?,Unknown,?,0
1617456136672043018 ,TW ,1,0,Consumer,10/16/2009,N,N,3Y+,#,03 CS,?,APAC  ,Organic,?,?,Unknown,?,0
1484452984888770531 ,US ,11,10,Business,7/9/2006,N,N,3Y+,Jennifer Burns,03 CS,cameras,NA    ,Organic,32,963.95,<10K,0.31,0.91
1575250096013698026 ,ES ,4,1,Consumer,2/5/2013,N,N,1Y-3Y,#,03 CS,cellphones,CEMEA ,Natural Search,1,295,<10K,1,0.25
2025830378699147456 ,US ,18,18,Business,9/23/2013,N,N,1Y-3Y,#,03 CS,houseware,NA    ,Organic,20,724.9,<10K,0.9,1
1484456189794048218 ,NZ ,2,0,Consumer,6/26/2015,N,N,0-3M,#,04 YS,cellphones,APAC  ,Organic,1,500,<10K,0,0
1595484566300507259 ,CA ,1,1,Consumer,8/1/2012,N,N,3Y+,#,05 P2P receiver,?,NA    ,Natural Search,1,0.89,<10K,1,1
1365071830995999840 ,IT ,1,1,Consumer,9/14/2013,N,N,1Y-3Y,#,04 YS,?,CEMEA ,Organic,1,33.16,<10K,1,1
1663681911546489747 ,US ,11,10,Business,4/1/2013,N,N,1Y-3Y,"Orchid City Brass Bands, Inc.",02 SME,non-profit,NA    ,Paid IM and Natural Search,13,495.69,<10K,0.77,0.91
1190360030938315915 ,US ,1,1,Business,4/19/2012,N,N,3Y+,Christopher S Antes,03 CS,food-n-drink,NA    ,Paid IM,2,220,<10K,0.5,1
1754279613333755577 ,GB ,2,2,Business,12/22/2010,N,N,3Y+,DARLYN,03 CS,fashion,EMEA  ,Organic,2,110.61,<10K,1,1
1209494282076164799 ,US ,44,3,Business,8/26/2014,N,N,3-12M,HolistiCitiLyfe Inc.,03 CS,travel,NA    ,Natural Search,7,671.74,<10K,0.43,0.07
1494580040136267722 ,US ,1,1,Consumer,1/17/2015,N,N,3-12M,#,03 CS,?,NA    ,Organic,1,30,<10K,1,1
1986721101540200115 ,FR ,2,2,Consumer,7/1/2006,N,N,3Y+,#,03 CS,?,CEMEA ,Organic,2,17.37,<10K,1,1
1277778236528737902 ,GB ,1,1,Business,3/23/2015,N,N,3-12M,Harvesters FC,03 CS,?,EMEA  ,Partner and Search,1,1.49,<10K,1,1
1966843030121330446 ,US ,4,4,Consumer,2/2/2003,N,N,3Y+,#,03 CS,?,NA    ,Organic,4,119.54,<10K,1,1
1739294811587763218 ,US ,2,0,Consumer,10/23/2014,N,N,3-12M,#,03 CS,?,NA    ,Organic,2,48,<10K,0,0
1535319764206203360 ,GB ,1,1,Consumer,12/7/2006,N,N,3Y+,#,03 CS,?,EMEA  ,Paid IM,1,239.53,<10K,1,1
1674283520850455262 ,US ,9,8,Consumer,10/20/2008,N,N,3Y+,#,03 CS,electronics,NA    ,Organic,9,"1,942.50",<10K,0.89,0.89
1668402179895402041 ,US ,7,7,Consumer,11/30/2014,N,N,3-12M,#,03 CS,?,NA    ,Organic,8,455.08,<10K,0.88,1
2194240321892174464 ,GB ,1,1,Business,12/20/2010,N,N,3Y+,SRC buy and sell,03 CS,?,EMEA  ,Organic,1,136.78,<10K,1,1
2083621913630509467 ,US ,2,2,Business,6/30/2010,N,N,3Y+,#,03 CS,?,NA    ,Organic,2,73.39,<10K,1,1
1262280642653173006 ,CH ,1,0,Business,4/13/2007,N,N,3Y+,Akroasis - Oktave,03 CS,?,EMEA  ,Organic,?,?,Unknown,?,0
2123082741754106409 ,DE ,1,1,Consumer,7/12/2012,N,N,3Y+,#,03 CS,?,EMEA  ,Paid IM,1,18.99,<10K,1,1
1981361253904657614 ,GB ,2,1,Consumer,2/13/2015,N,N,3-12M,#,04 YS,?,EMEA  ,Organic,1,36.29,<10K,1,0.5
1775484366187542783 ,GB ,5,4,Consumer,9/1/2003,N,N,3Y+,#,03 CS,?,EMEA  ,Organic,6,173.71,<10K,0.67,0.8
2247307066527277300 ,US ,2,2,Consumer,11/11/2003,N,N,3Y+,#,03 CS,cellphones,NA    ,Organic,9,"1,182.75",<10K,0.22,1
1242902615262216987 ,IN ,127,40,Business,6/2/2011,N,N,3Y+,VIRA STITCH'S,03 CS,printing,APAC  ,Organic,128,"9,690.66",<10K,0.31,0.31
